ruleId,title,shortDescription,grade,gradePoints,type,ruleSpecificationUrl
sancionesAplicadasAServidoresPublicos,Sanciones aplicadas a servidores públicos,Es posible encontrar informaciones sobre sanciones disciplinarias o de otro tipo que hayan sido impuestas  a funcionarios de la entidad.,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#611-sanciones-aplicadas-a-servidores-p%C3%BAblicos
directorioConInformacionesDeContratosConContratistasBasico,Directorio con Informaciones de Contratos de Contratistas - Básico,Es posible encontrar informaciones sobre los contratos de contratistas en formatos abiertos: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Objeto del contrato.,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#612-directorio-con-informaciones-de-contratos-de-contratistas---b%C3%A1sico
directorioConInformacionesDeContratosConContratistasCompleto,Directorio con Informaciones de Contratos de Contratistas - Completo,El sitio web contiene contiene un directorio de funcionarios de informaciones completas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Formación académica; Experiencia laboral y profesional; Sanciones aplicadas;Objeto del contrato.,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#613-directorio-con-informaciones-de-contratos-de-contratistas---completo
normasGenerales,Normas generales,"Existencia de una sección con normas y reglamentos pertinentes para la entidad: decretos, circulares, leyes, etc. relativas a creacción e reglamentos de la entidad.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#614-normas-generales
normasReglamentarias,Normas Reglamentarias,Existencia de información sobrenormas reglamentarias pertinentes a la entidad: resoluciones y directivas.,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#614-normas-reglamentarias
manuales,Manuales,AFAZER,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#615-manuales
metasYObjectivos,Metas y Objetivos,AFAZER,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#616-metas-y-objetivos
resultadoDeAuditorias,Resultado de Auditorías,AFAZER,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#617-resultado-de-auditor%C3%ADas
indicadoresDeDesempeno,Indicadores de Desempeño,Las entidades deben proveer información sobre los indicadores de desempeño que utilizan y reportes con estadísticas y análisis del desempeño de la entidad (en relación a _________) y de sus funcionarios.,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#618-indicadores-de-desempe%C3%B1o
planAnticorrupcionYDeAtencionAlCiudadano,Plan Anticorrupción y de Atención al Ciudadano,AFAZER,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#619-plan-anticorrupci%C3%B3n-y-de-atenci%C3%B3n-al-ciudadano
planDeComprasYAdquisicion,Plan anual de compras y adquisiciones,"La entidad debe ofrecer informaciones de su Plan de Compras Anual. El documento MOTA - Reglas Contextuales especifica normas necesarias por entidad, o clases de entidad.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#620-plan-de-compras-y-adquisici%C3%B3n
atencionAlCiudadano,Atención al ciudadano,"El sitio de la entidad debe contener una o más páginas con información de los servicios que brinda directamente al público, incluyendo i) normas ii) formularios y formatos y, iii) protocolos de atención a diferentes públicos.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#71-atenci%C3%B3n-al-ciudadano
tramites,Trámites,"El sitio de la entidad debe contener una o más páginas con informaciones de los trámites que se pueden agotar en la entidad, incluyendo i) normativa(s) relacionada(s) ii) proceso a seguir, incluso formularios y formatos y, iii) costos asociados.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#72-tr%C3%A1mites
procedimientos,Procedimientos,El sitio de la entidad debe contener una o más páginas con informaciones sobre los procedimientos que se siguen para tomar decisiones en diferentes áreas y procesos.,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#73-procedimientos
decisiones,Decisiones,"El sitio de la entidad debe contener una o más páginas con los contenidos de las decisiones adoptadas que afecten al público, junto con sus fundamentos e interpretaciones.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#74-decisiones
politicas,Políticas,"El sitio de la entidad debe contener una o más páginas con los contenidos de las políticas adoptadas que afecten al público, junto con sus fundamentos e interpretaciones.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#75-pol%C3%ADticas
participacionCiudadanaMecanismosDePresentacionDirecta,Participación Ciudadana - Mecanismos de Presentación Directa,"El sitio de la entidad debe ofrecer mecanismos de presentación directa de solicitudes, quejas y reclamos a disposición del público.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#74-participaci%C3%B3n-ciudadana---mecanismos-de-presentaci%C3%B3n-directa
reporteDeParticipacionCiudadana,Reporte de Participación Ciudadana,"El sitio de la entidad debe contener una o más páginas con reportes generales y agregados de datos de quejas y reclamos de la entidad, correspondientes a la respectiva vigencia y a años anteriores.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#75-reporte-de-participaci%C3%B3n-ciudadana
mecanismosDeParticipacionCiudadanaEmFormulacionDePoliticas,Mecanismos de Participación Ciudadana en Formulación de Políticas,"Descrición de los mecanismos de participación ciudadana para la formulación de políticas o ejercicios de facultades del sujeto obligado, incluyendo publicidad de invitaciones públicas, convocatorias o procesos de participación pública.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#76-mecanismos-de-participaci%C3%B3n-ciudadana-en-formulaci%C3%B3n-de-pol%C3%ADticas
informesDeGestion,Informes de Gestión,"Informes de Gestión del periodo vigente y de períodos anteriores. Los informes resumen los resultados de la entidad por un período determinado, así como la administración hecha a sus recursos, contratación, entre otros.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#77-informes-de-gesti%C3%B3n
informesDeEvaluacion,Informes de Evaluación,"El sitio de la entidad debe contener Informes de Evaluación del periodo vigente y de los períodos anteriores. contratación, entre otros.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#78-informes-de-evaluaci%C3%B3n
informesDeAuditoria,Informes de Auditoría,AFAZER,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#79-informes-de-auditor%C3%ADa
mecanismosInternosDeSupervisionOficinaDeControlInterno,Mecanismos Internos de Supervisión - Oficina de Control Interno,"Informaciones acerca de la Oficina de Control Interno, de manera que los funcionarios o la ciudadanía tengan claro que hay una dependencia a la que se puede acudir para presentar denuncias u observaciones acerca del funcionamiento de la entidad.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#710-mecanismos-internos-de-supervisi%C3%B3n---oficina-de-control-interno
mecanismosExternosDeSupervision,Mecanismos Externos de Supervisión,AFAZER,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#711-mecanismos-externos-de-supervisi%C3%B3n
mecanismosNotificacion,Mecanismos Notificación,Descripción de la forma en que se compone y se organiza la entidade y no tan sólo la cabeza o principal órgano que se trate.,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#712-mecanismos-notificaci%C3%B3n
mecanismosDeVigilancia,Mecanismos de Vigilancia,AFAZER,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#713-mecanismos-de-vigilancia
procedimientosYLineamientosDeContratacion,Procedimientos y Lineamientos de Contratación,AFAZER,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#714-procedimientos-y-lineamientos-de-contrataci%C3%B3n
politicasEnMateriaDeAdquisicionesYCompras,Políticas en materia de adquisiciones y compras,"AFAZER: aclarar. La entidad debe ofrecer informaciones de su Plan de adquisiciones. El documento MOTA - Reglas Contextuales especifica normas necesarias por entidad, o clases de entidad.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#715-pol%C3%ADticas-en-materia-de-adquisiciones-y-compras
esquemasDePublicacionDeInformacion,Esquemas de Publicación de información,"El sitio de la entidad debe contener una o más páginas con informaciones de Esquemas de Publicación de información, publicadas en una página denominada ""Acceso a información pública"".",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#81-esquemas-de-publicaci%C3%B3n-de-informaci%C3%B3n
programaDeGestionDocumental,Programa de Gestión Documental,"Informaciones de Programa de Gestión Documental, publicadas en una página Gestión Documental e informar procedimientos y lineamientos para la producción, distribución, organización, consulta y conservación de los documentos públicos.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#82-programa-de-gesti%C3%B3n-documental
tablasDeRetencionDocumental,Tablas De Retención Documental,AFAZER,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#83-tablas-de-retenci%C3%B3n-documental
informacionPublicadaAntesDeLaLey1712De2014,Información Publicada Antes De La Ley 1712 De 2014,AFAZER,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#84-informaci%C3%B3n-publicada-antes-de-la-ley-1712-de-2014
respuestasASolicitudesDeInformacionRecibidas,Respuestas A Solicitudes De Información Recibidas,AFAZER,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#85-respuestas-a-solicitudes-de-informaci%C3%B3n-recibidas
